species,longitude,latitude
Rubus chamaemorus,4516281.76,4822540.854
Rubus chamaemorus,4879191.307000001,4934233.105
Rubus chamaemorus,5127868.369,4825287.315
Rubus chamaemorus,4126082.23,4231031.733
Rubus chamaemorus,5075547.129000001,4817961.578
Rubus chamaemorus,4542328.78,3851294.473
Rubus chamaemorus,5315343.779,4537584.442
Rubus chamaemorus,4742039.389,4488989.687
Rubus chamaemorus,5084622.636,4665816.716
Rubus chamaemorus,4993910.078,4625427.729
Rubus chamaemorus,4779253.715,5126301.194
Rubus chamaemorus,4805021.736,4702129.262
Rubus chamaemorus,4403617.339,4556838.683
Rubus chamaemorus,5182776.588,4752482.918
Rubus chamaemorus,5086916.986,4231426.229
Rubus chamaemorus,4848268.859,4706754.145
Rubus chamaemorus,4520461.28,4640208.019
